,time,temp,plant,plant_number,location
0,2025-06-07 09:00:00,36.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
1,2025-06-07 10:00:00,38.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
2,2025-06-07 11:00:00,40.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
3,2025-06-07 12:00:00,41.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
4,2025-06-07 13:00:00,42.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
5,2025-06-07 14:00:00,42.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
6,2025-06-07 15:00:00,41.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
7,2025-06-07 16:00:00,41.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
8,2025-06-07 17:00:00,40.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
9,2025-06-07 18:00:00,39.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
10,2025-06-07 19:00:00,35.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
11,2025-06-07 20:00:00,32.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
12,2025-06-07 21:00:00,29.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
13,2025-06-07 22:00:00,29.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
14,2025-06-07 23:00:00,27.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
15,2025-06-08 00:00:00,26.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
16,2025-06-08 01:00:00,25.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
17,2025-06-08 02:00:00,24.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
18,2025-06-08 03:00:00,23.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
19,2025-06-08 04:00:00,23.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
20,2025-06-08 05:00:00,22.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
21,2025-06-08 06:00:00,21.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
22,2025-06-08 07:00:00,28.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
23,2025-06-08 08:00:00,35.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
24,2025-06-08 09:00:00,38.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
25,2025-06-08 10:00:00,40.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
26,2025-06-08 11:00:00,42.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
27,2025-06-08 12:00:00,42.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
28,2025-06-08 13:00:00,44.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
29,2025-06-08 14:00:00,43.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
30,2025-06-08 15:00:00,43.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
31,2025-06-08 16:00:00,42.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
32,2025-06-08 17:00:00,41.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
33,2025-06-08 18:00:00,40.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
34,2025-06-08 19:00:00,36.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
35,2025-06-08 20:00:00,33.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
36,2025-06-08 21:00:00,30.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
37,2025-06-08 22:00:00,29.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
38,2025-06-08 23:00:00,29.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
39,2025-06-09 00:00:00,27.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
40,2025-06-09 01:00:00,25.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
41,2025-06-09 02:00:00,24.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
42,2025-06-09 03:00:00,23.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
43,2025-06-09 04:00:00,22.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
44,2025-06-09 05:00:00,22.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
45,2025-06-09 06:00:00,22.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
46,2025-06-09 07:00:00,29.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
47,2025-06-09 08:00:00,35.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
48,2025-06-09 09:00:00,38.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
49,2025-06-09 10:00:00,40.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
50,2025-06-09 11:00:00,42.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
51,2025-06-09 12:00:00,44.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
52,2025-06-09 13:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
53,2025-06-09 14:00:00,44.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
54,2025-06-09 15:00:00,44.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
55,2025-06-09 16:00:00,42.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
56,2025-06-09 17:00:00,42.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
57,2025-06-09 18:00:00,41.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
58,2025-06-09 19:00:00,37.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
59,2025-06-09 20:00:00,34.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
60,2025-06-09 21:00:00,31.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
61,2025-06-09 22:00:00,31.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
62,2025-06-09 23:00:00,31.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
63,2025-06-10 00:00:00,29.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
64,2025-06-10 01:00:00,28.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
65,2025-06-10 02:00:00,27.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
66,2025-06-10 03:00:00,25.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
67,2025-06-10 04:00:00,24.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
68,2025-06-10 05:00:00,25.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
69,2025-06-10 06:00:00,24.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
70,2025-06-10 07:00:00,31.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
71,2025-06-10 08:00:00,37.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
72,2025-06-10 09:00:00,40.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
73,2025-06-10 10:00:00,42.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
74,2025-06-10 11:00:00,44.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
75,2025-06-10 12:00:00,44.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
76,2025-06-10 13:00:00,45.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
77,2025-06-10 14:00:00,45.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
78,2025-06-10 15:00:00,44.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
79,2025-06-10 16:00:00,43.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
80,2025-06-10 17:00:00,42.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
81,2025-06-10 18:00:00,41.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
82,2025-06-10 19:00:00,38.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
83,2025-06-10 20:00:00,34.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
84,2025-06-10 21:00:00,32.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
85,2025-06-10 22:00:00,31.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
86,2025-06-10 23:00:00,31.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
87,2025-06-11 00:00:00,30.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
88,2025-06-11 01:00:00,29.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
89,2025-06-11 02:00:00,27.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
90,2025-06-11 03:00:00,26.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
91,2025-06-11 04:00:00,25.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
92,2025-06-11 05:00:00,24.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
93,2025-06-11 06:00:00,24.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
94,2025-06-11 07:00:00,30.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
95,2025-06-11 08:00:00,36.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
96,2025-06-11 09:00:00,40.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
97,2025-06-11 10:00:00,42.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
98,2025-06-11 11:00:00,43.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
99,2025-06-11 12:00:00,45.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
100,2025-06-11 13:00:00,45.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
101,2025-06-11 14:00:00,45.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
102,2025-06-11 15:00:00,45.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
103,2025-06-11 16:00:00,44.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
104,2025-06-11 17:00:00,43.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
105,2025-06-11 18:00:00,42.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
106,2025-06-11 19:00:00,39.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
107,2025-06-11 20:00:00,35.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
108,2025-06-11 21:00:00,33.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
109,2025-06-11 22:00:00,32.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
110,2025-06-11 23:00:00,31.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
111,2025-06-12 00:00:00,30.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
112,2025-06-12 01:00:00,29.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
113,2025-06-12 02:00:00,27.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
114,2025-06-12 03:00:00,26.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
115,2025-06-12 04:00:00,25.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
116,2025-06-12 05:00:00,24.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
117,2025-06-12 06:00:00,23.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
118,2025-06-12 07:00:00,30.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
119,2025-06-12 08:00:00,37.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
120,2025-06-12 09:00:00,40.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
121,2025-06-12 10:00:00,42.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
122,2025-06-12 11:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
123,2025-06-12 12:00:00,45.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
124,2025-06-12 13:00:00,45.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
125,2025-06-12 14:00:00,46.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
126,2025-06-12 15:00:00,45.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
127,2025-06-12 16:00:00,43.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
128,2025-06-12 17:00:00,42.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
129,2025-06-12 18:00:00,41.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
130,2025-06-12 19:00:00,38.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
131,2025-06-12 20:00:00,34.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
132,2025-06-12 21:00:00,32.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
133,2025-06-12 22:00:00,31.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
134,2025-06-12 23:00:00,30.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
135,2025-06-13 00:00:00,29.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
136,2025-06-13 01:00:00,27.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
137,2025-06-13 02:00:00,25.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
